,Artist,Total Appearances 2024,Avg Points (Total),Weighted Points
0,The Weeknd,3668.077949462111,111.30227073664322,408265.405014143
1,Bad Bunny,2659.6892304538087,115.97859257021439,308467.01362218935
2,Feid,2626.902496013908,104.72090051080805,275091.5949366658
3,Taylor Swift,2443.338212636432,99.2846318845022,242585.93501094574
8,KAROL G,1340.500699482847,112.69528665057187,151068.11058351156
6,Ed Sheeran,1546.8999335289104,91.1609970216017,141016.94023314488
9,Drake,1306.2875230225825,96.9468050148077,126640.40178774642
12,Harry Styles,996.9575818046212,110.21645349634788,109881.12895280047
13,Mitchell Ayres & His Orchestra,989.3203664437908,108.24786324786324,107091.81573513341
5,Eminem,1693.198065241411,61.04000605579014,103352.82015598788
14,21 Savage,986.9014628433312,101.84069665772915,100506.73250849685
16,Imagine Dragons,965.0778861526688,101.51869312524879,97973.44576629657
10,Metro Boomin,1111.7702436226912,79.5334931088996,88422.97100984494
19,SZA,899.0203853790266,95.27288206958667,85652.26315437036
11,Arctic Monkeys,1105.1810876862764,64.73196037587745,71540.53837627718
17,Pop Smoke,913.5533681834876,76.6451820439714,70019.46421130664
18,Junior H,906.0725091751772,70.99104320033227,64323.03264148846
15,Coldplay,985.2806864262244,64.11299294719565,63169.29369985261
7,a-ha,1352.2475804495425,27.773809523809526,37557.066728437894
4,Rich Brian,1903.2750456850824,14.116666666666667,26867.89939492108
