,Artist,Total Points (2024),Avg Points (Total),Weighted Points
0,Peso Pluma,4684.500041,105.76794318250427,495469.93417492695
1,The Weeknd,4176.843636,111.30227073664322,464892.18119869725
2,Taylor Swift,4142.850473,99.2846318845022,411321.38416434085
3,Feid,3906.162076,104.72090051080805,409056.81013988744
4,Bad Bunny,3428.76457,115.97859257021439,397663.28908321634
5,Grupo Frontera,2560.500019,119.27461414360192,305402.6517809104
6,Olivia Rodrigo,2069.244652,110.55286964705017,228760.9342804117
13,Natanael Cano,1588.500072,142.81953045635964,226868.8344129335
8,Michael Bublé,1774.000024,106.84199663998743,189537.7046035456
12,Fuerza Regida,1598.000008,107.10805848921045,171158.67832262276
11,21 Savage,1637.184235,101.84069665772915,166731.98304945134
9,SZA,1727.094105,95.27288206958667,164545.23298874334
17,KAROL G,1354.134734,112.69528665057187,152604.6020116259
15,Willy William,1398.046835,106.78873692977447,149295.65567831884
19,Jhay Cortez,1256.66326,109.12497406762829,137133.34565924123
16,WILLOW,1356.0,92.45567420882276,125369.89422716366
18,Drake,1287.423574,96.9468050148077,124811.60220004484
7,Eminem,1935.696643,61.04000605579014,118154.93481089264
14,Junior H,1584.500003,70.99104320033227,112485.30816389962
10,Arctic Monkeys,1655.526149,64.73196037587745,107165.45307829698
